Specie	TAB007	TAB008	TAB009	TAB010	APW023	APO164	APO165	APO166	APO167	APP365	APP366	APP373	APP374	APP375	APP376	APP377	APP378	APP1211	APP1212	APP1223	APP1224	APP1235	APP1236	APP1307	APP1308	APP1319	APP1320	APP1331	APP1332	APP1355	APP1356	APP1367	APP1368	APP1379	APP1380	APP1391	APP1392	APP1417	APP1418	APP1419	APP1420	APP1421	APP1422	APP1423	APP1424	APP1425	APP1426	APP1439	APP1440	APP1499	APP1500	APP1511	APP1512	APP1522	APP1523	APP1524	APP1534
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Phnom_Penh_bat_virus	4020;86482;41533;89934;89809;86540	5598;49981;49980;89461;27637;86151;86106;86131;86132;86044;42181;49977;50643;86849;86663;74735	5644;27543;27597;27598;86466;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696	23824;27543;27589;27597;27598;86465;86466;32952;86415;37726;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86633;86634;86691;89716;74695;74696		5696;41556;89945;89559	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;74693;74712	5690;89508;86503	86376;41324		5598;5642;89453;89454;86376;86460;86461;32898;32899;86071;86108;37707;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466			89461;89462;89483;27396;86505;86152;86127;40408;89530;41362;50643;50644;50666;89785;89788;89789;89587;86764;89716;89717;89733;74712;74718;74735	4021;5622;86330;86331;27589;86419;86085;86003;40751;86289;86296;42138	89464;89497;89501;23793;23818;89576;86708;89865	37677;37678;89222;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;40404;40444;86004;40750;41545;41546;86633;86948;89744;86551;86552	5667;89415;89483;86353;86233;37755;40446;86043;41514;86824;86825;89586;89680;89733;74720;74735;89877	86349;86432;40735;86528	32999;23846;40467;86351;86353;86414;86040;41508;41509;41563;86910;74712	89484;23755;37747;89805;89587;86765;89717;89734;89867			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;86710;86711;74692;74712	86482;41533;86540	86370;37680;89226;86794;86548	23794;27432;27433;27437;40415	86691;74694;74695	86372;27625;86493;86426;41544;86195;86992;86993;86841;86703;86550	89415;86379;27626;27637;86466;86258;37670;37687;37754;41556;86204;42134;42138;86849;74715;86547		32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86632;86711;74692;74734;74735		4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;32949;40467;85935;41514;89761;86908;89740;74712;75285	23762;40405;85948;89886	4049;4065;5644;5680;11305;41314;49977;89425;27613;37711;41317;41326;89906;86605;86764;74712	27393;32907;37742;41388;50608;86870;75285	89466;74735	92031;50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;89425;22596;23761;86352;27589;27597;27616;86459;32935;32943;40382;40741;40742;41476;41508;42090;42133;42138;89925;89785;89792;86830;86629;86688;74687	5657;27546;27617;49987;89808;86865;86632	5598;56533;89486			27400;27401	50034	27392;27393;86291				27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641	3988;89499;27536;27537;86586;86587;40375;86310;86311;50631;86959;86995;86786;86514	
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Powassan_virus	4020;86482;41533;89180;89934;89809;86540	5598;49981;49980;89461;27637;86151;86106;86131;86132;86044;41389;42181;49977;50643;86849;86663;74735	5644;27543;27597;27598;86466;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696			5696;41556;89945;89559;74638	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;74693;74712	5690;89508;86503	86376;41324		5598;5642;89453;89454;86376;86460;86461;32898;32899;86071;86108;37660;37707;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466;75635		24749;65588	89461;89462;89483;27395;27396;86505;86152;86127;40408;89530;41362;50643;50644;50666;89785;89788;89789;89587;86764;72017;89716;89717;89733;74712;74718;74735	4021;5622;86330;86331;27589;86419;86085;86003;40751;86289;86296;42138	89464;89497;89501;23793;23818;89576;86708;89865	37677;37678;89222;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;86139;40404;40444;86004;40750;41545;41546;86288;86633;86948;72026;89744;86551;86552	5667;89415;89483;86353;86233;37755;40354;40446;86043;41514;89586;89680;89733;74720;74735;89877	86349;86432;40735;86528	32999;23846;40467;86351;86353;86414;86040;41508;41509;41563;86910;74712	89484;23755;23756;33847;37747;89805;89587;86765;89717;89734;89867			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;89557;86710;86711;74692;74712	86482;41533;86540	86327;86370;37680;86274;42100;89226;86794;86548	23794;27432;27433;27437;40415	86691;74694;74695		89415;86379;27626;27637;86466;86258;37670;37687;37688;37754;40354;41556;86204;42134;42138;86849;86660;74638;74715;86547		32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86177;86632;86711;74692;74734;74735		4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;32885;32949;40467;85935;41514;89761;86861;86908;89740;74712;75285	23762;40405;85948;89886	4049;4065;5644;5680;11305;41314;49977;89425;89426;27613;37711;41317;41326;49305;50605;50606;89906;89907;86605;89557;86764;74712	27393;32907;37742;41388;49305;50608;86870;75285	89466;74735	50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;14203;89425;23761;86352;27589;27597;27616;86459;32935;32943;86403;40382;40713;40741;40742;41475;41508;86177;42090;42133;42138;89925;89785;89792;86830;86629;86688;74687	5657;27546;27617;49987;89808;86865;86632	5598;56534;56533;89486;23279;49966			27400;27401	14203;50034	27392;27393;86291	4052;32977;32978;89481;89482;89497;23838;27540;86136;40439;40440;40695;89198;89199;50664;89932;89941;89817;86788;86861;86913;89585;89620;89679;89875;89876;89886		89180	27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641;89694	3988;89499;27536;27537;31516;86587;40375;86310;86311;50592;50631;86959;86995;86786;89557;72015	89432;86402;86078;85963;86030;89549;42100;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Royal_Farm_virus	4020;86482;41533;89180;89934;89809;86540	5598;49981;49980;16129;89461;27637;86151;86106;86131;86132;86044;41389;42181;49977;50643;86849;86663;74735	5644;27543;27597;27598;86466;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696			5696;41556;89945;89559;74638	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;74693;74712	5690;89508;86503	86376;41324		5598;5642;11301;89453;89454;86376;86460;86461;32898;32899;86071;86108;37660;37707;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466		23627;57933;28318	89461;89462;89483;27396;86505;86152;86127;40408;89530;41362;50643;50644;50666;89785;89788;89789;89587;86764;72017;89716;89717;89733;74712;74718;74735	4021;5622;10867;86330;86331;27589;30667;86419;86085;86003;40751;86289;86296;42138	89464;89497;89501;23793;23818;89576;86708;89865	37677;37678;89222;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;86139;40404;40444;86004;40750;41545;41546;86633;86948;72026;89744;86551;86552	5667;89415;89483;86353;86233;37755;40354;40446;86043;41514;89586;89680;89733;74720;74735;89877	86349;86432;40735;86528	32999;23846;40467;40986;86351;86353;86414;86040;41508;41509;41563;86910;74712	89484;23755;23756;37747;89805;89587;86765;89717;89734;89867			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;89557;86710;86711;74692;74712	86482;41533;86540	86327;86370;37680;86274;89226;86794;86548	23794;27432;27433;27437;40415	86691;74694;74695	86372;27625;86493;86426;41544;86194;86195;86992;86993;86841;86703;86550	89415;86379;27626;27637;86466;86258;37670;37687;37688;37754;40354;41556;86204;42134;42138;86849;86660;74638;74715;86547		32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86177;86632;86711;74692;74734;74735	86303	4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;32885;32949;40467;85935;41514;89761;86861;86908;89740;74712;75285	23762;40405;85948;89886	4049;4065;5644;5680;11305;11444;41314;49977;89425;89426;27613;37711;41317;41326;50605;50606;89906;89907;86605;89557;86764;74712	11444;27393;32907;37742;41388;50607;50608;86870;75285	89466;74735	50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;89425;23761;86352;27589;27597;27616;86459;32935;32943;86403;40382;40713;40741;40742;41475;41476;41508;86177;42090;42133;42138;89925;89785;89792;86830;86629;86688;74687	5657;27546;27617;49987;89808;86865;86632	5598;56534;56533;89486;49966			27400;27401	50034	27392;27393;86291	4052;32977;32978;89481;89482;89497;23838;27540;40439;40440;40695;89198;89199;50664;89932;89941;89817;86788;86861;86913;89585;89620;89679;89875;89876;89886		89180	27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641;89694	3988;89499;27536;27537;86586;86587;40375;86310;86311;50592;50631;86959;86995;86786;89557;72015	
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Tick_borne_encephalitis_virus	4020;86482;41533;89180;89934;89809;86540	5598;49981;49980;89461;27637;86151;86106;86131;86132;86044;41389;42181;43173;49977;50643;86849;86663;74735	5644;27543;27597;27598;86466;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696			3278;5696;41556;89945;89559;74638	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;59279;74693;74712	5690;89508;86503	86376;41324		5598;5642;89453;89454;86376;86460;86461;32898;32899;86071;86108;37660;37707;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466		4003;81697;23761;86346;27382;27431;27580;27589;81573;86446;86454;86466;86236;86415;86416;86079;86101;86102;86131;81791;37727;85968;85987;85988;40732;40733;40750;40751;89529;89543;41373;41394;41499;41517;41518;86190;86194;42124;42125;50033;50606;50636;86824;86595;86604;86613;86634;89557;89563;89632;86654;86667;86686;86687;86740;86745;86755;86756;74629;74646;74658;74678;74679;74696;74712	89461;89462;89483;27395;27396;86505;86152;86127;40408;89530;41362;50643;50644;50666;89785;89788;89789;95160;89587;86764;72017;89716;89717;89733;74712;74718;74735	45181;45199;57220	89464;89497;89501;23793;23818;89576;86708;89865	37677;37678;89222;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;86139;40404;40444;86004;40750;41545;41546;86633;86948;72026;89744;86551;86552	5667;89415;89483;86353;86233;37755;40354;40446;86043;41514;89586;89680;89733;74720;74735;89877	86349;40735;86528	32999;23846;40467;86351;86353;86414;86040;41508;41509;41563;86910;74712	89484;23755;23756;37747;89805;89587;86765;89717;89734;89867		88582	86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;89557;86710;86711;74692;74712	86482;41533;86540	86327;86370;37680;86274;42100;89226;86548	23794;27432;27433;27437;40415	86691;74694;74695	86372;27625;30595;86493;86426;41544;86194;86195;86992;86993;86841;86703;86550	61592;89415;86379;27626;27637;86466;86258;37670;37687;37688;37754;40354;41556;86204;42134;42138;86849;55636;86660;74638;74715;86547	28434	32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86177;42785;86632;86711;74692;74734;74735;78575	32945;40413;14627;21224;21626;86326;86327;25551;86215;86216;86138;86139;86154;86155;80557;34998;37978;40696;40697;86304;41459;41556;86173;86274;43525;49586;95410;95060;95512;89625;86764;74712	4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;32885;32949;40467;85935;41514;89761;86861;86908;89740;74712;75285	23762;40405;85948;89886	4049;4065;5644;5680;11305;41314;49977;89425;89426;27613;37711;41317;41326;50605;50606;89906;89907;86605;89557;86764;71654;73765;74712	56693;27393;28434;32907;37742;41388;50607;50608;86870;73439;75285	89466;74735	13905;50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;89425;23761;86352;27589;27597;27616;86459;32935;32943;86403;40382;40713;40741;40742;86722;41475;41508;86177;42133;42138;89925;89785;89792;86830;86629;89052;86688;74687		5598;56534;56533;89486;42517;49966			27400;27401	13285;13905;50034	27392;27393;86291	4052;32977;32978;89481;89482;89497;23838;27540;30596;40439;40440;40695;89198;89199;50664;89932;89941;89817;86788;86861;86913;89585;89620;89679;89875;89876;89886		89180	27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641	3988;8118;89499;27536;27537;86587;40375;86311;50592;50631;86959;86995;86786;89557;72015	89432;86402;86078;85963;86030;89549;42100;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Aedes_flavivirus	4020;86482;41533;89934;89809;86540	89461;27637;86106;86131;86132;86044;42181;50643;86849;74735				5696;41556;89945	23838;27582;27595;86002;50684;89820;86824;86825;86828;86892;86896;74693;74712	5690;89508;86503	86376						36939	4021;5622;86331;86003	89497;89501;23793;23818;86708	50669;89624;89487;89878;89736;89808;89504;23839;23840;27419;27629;86494;86495;86254;40404;40444;41545;41546;86948;89744;86551;86552				86765			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;86710;86711;74712	86482;41533;86540	86370;86548		74694	86372;27625;86493;86426;41544;86992;86993;86841;86703;86550	86379;27626;27637;86258;37670;37754;41556;86204;86849;74715		32993;23840;40461;86507;89502;86347;86348;86455;86456;37765;86047;40734;41500;41501;86711;74734;74735		27401;70592	86502;89173;86030;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;86385;27635;32949;41514;89761;86908;89740;74712	23762;40405;89886	5644;5680;27613;37711;86764;74712		74735	74712;74735		5657;27617;89808	56533;89486	89512;32997;40465;41397;89590;89748;75519		27400;27401	50034;73425	27392;86291				27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641	89499;27537;50631;86959;86995	89432;86030;89549;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Cell_fusing_agent_virus	4020;86482;41533;89934;89809;86540	89461;27637;86106;86131;86132;86044;42181;50643;86849;74735	15910	15910		5696;41556;89945		5690;89508;86503	86376						89461;89462;86505;86152;86127;50643;50644;89788;89789;86764;89716;89717;74712;74718;74735	4021;5622;86331;86085;86003;42138	89464;89497;89501;23793;23818;86708	50669;89624;89487;89878;89736;89808;89504;23839;23840;27419;27629;86494;86495;86254;41545;86948;89744;86552				86765;89717			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;86710;86711;74712	86482;41533;86540	86370;86548		74694	86372;27625;86493;86426;41544;86992;86993;86841;86703;86550	86379;27626;27637;86258;37670;37754;40354;41556;86204;42138;86849;74715		32993;23840;40461;86507;89466;89502;86347;86455;37765;86047;40734;41500;86711;74734;74735		27401;37726	86502;89173;86030;41552;86203;42168;42299;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;17912;89497;89498;86385;27635;32949;41514;89761;86908;89740;74712	23762;89886	5680;27613;37711;86764;74712		89466;74735	74712;74735		5657;27617;89808	56533;89486	89512;32997;40465;41397;89590;89748		27400;27401	50034	27392;86291				37718;27585;41364;41363;86727;42129;50027;85992;41504;86105;89169;40352;40446;86641	89499;27537;50631;86959;86995	89432;86030;89549;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Chaoyang_virus	4020;86482;32878;41533;89180;89934;89809;86540	5598;89461;27637;86151;86106;86131;86132;86044;41389;42181;49977;50643;86849;86663;74735	5644;27543;27597;27598;86466;32929;32952;86415;37726;40405;86005;40750;40751;41372;41517;42141;42142;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696	23824;27543;27589;27597;27598;86465;86466;32929;32952;86415;37726;86005;40750;40751;41372;41517;42141;42142;50643;86963;86791;86633;86634;86691;89716;74695;74696		5696;86059;41556;89945;89559;74638	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;74693;74712	5690;89508;86503	86376;41324;68755		5598;5642;11301;89453;89454;86376;86460;86461;32898;32899;86071;86108;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466		4003;23761;86346;27382;27431;27580;27589;86446;86454;86466;86467;86236;86415;86416;86079;86101;86102;86131;37727;85968;85987;85988;40732;40733;40750;40751;89529;89543;41373;41394;41499;41517;41518;86190;86194;86289;42124;42125;50033;50606;50636;86824;86595;86603;86604;86613;86634;89557;89563;89632;86654;86666;86667;86686;86687;86740;86745;86755;86756;74629;74645;74646;74658;74678;74679;74696;74712	89461;89462;89483;27395;27396;86505;86152;86127;40408;40434;89530;41362;50643;50644;50666;89785;89788;89789;89587;86650;86764;72017;89716;89717;89733;74712;74718;74735	4021;5622;86330;86331;27589;86419;86085;86003;40751;86289;86296;42138	89464;89497;89501;23793;23818;89576;86708;89865	37677;37678;89222;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;86139;33160;40404;40444;86004;40750;41545;41546;86288;86633;86948;72026;89744;86551;86552		86349;40735;86528	32999;23846;40467;86351;86353;86414;86040;41508;41509;41563;42071;86910;74712			22556;86330;86331;86344;27557;27558;86443;86444;86466;86467;86222;86223;86236;86409;86416;33149;33153;33154;86109;86582;89159;37677;37678;37730;37776;40378;40379;86000;40714;40715;40750;40751;41476;41477;41496;41517;41518;86178;86194;86289;86290;89221;89222;49972;86634;74696	86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;89557;86710;86711;74692;74712	86482;41533;86540	86327;86370;37680;86274;42100;89226;86794;86548	23794;27432;27433;27437;40415	86691;74694;74695	86372;27625;86493;86426;86097;41544;86194;86195;42119;86992;86993;86841;86703;86550	89415;86379;27626;27637;86466;86467;86258;33167;37670;37688;37754;40354;41556;86204;42134;42138;86849;86660;74638;74715;86547		32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86177;86632;86711;74692;74734;74735	86579;86303	4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;32885;32949;40467;85935;41514;86171;89761;86861;86908;89740;74712	23762;40405;85948;89886	4049;4065;5644;5680;11305;41314;49977;89425;89426;27613;37711;41326;50605;50606;89906;89907;86605;89557;86764;74712	27393;32907;33168;37742;41388;50607;50608;86870		50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;89425;23761;86352;27589;27597;27616;86459;32935;32943;86403;40382;40713;40741;40742;86722;41475;41476;41508;86177;42090;42133;42138;89925;89785;89792;86830;86629;86688;74687	5657;27546;27617;49987;89808;86865;86632	5598;56534;56533;89486;85982;86682			27400;27401	50034	27392;27393;86291	4052;32977;32978;89481;89482;89497;23838;27540;40439;40440;40695;89198;89199;50664;89932;89941;89817;86788;86861;86913;89585;89620;89679;89875;89876;89886		89180	27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641	3988;5670;89499;27536;27537;86586;86587;40375;86310;86311;50592;50631;86959;86995;86786;89557;72015;86514	89432;86402;86078;85963;86030;89549;42100;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Culex_flavivirus	4020;86482;41533;89934;89809;86540	49442	48375	48375		5696;89945		5690;89508;86503	86376		89453;89454;86376;86461;86108;85998;40743;41550;42135;42175;89779;89780;89574;89666				89461;89462;89483;26730;86152;86127;40408;50643;50644;89788;89789;86764;89716;89717;74712;74718	4021;5622;86085;42138	89497;89501;23793;23818;86708	50669;89624;89487;89878;89736;89808;89504;23839;23840;27419;27629;86494;86254;40404;40444;41545;86948;89744;86552		86349;40735;86528		86765;89717			86354;86461;41510;86193;42135;74676	86250;40440;41540;89199;86710;74692;74712	86482;41533;86540	86370;86548	23794;27432;27433;40415		86372;27625;86493;86426;41544;86992;86993;86841;86703;86550	71358	49442			27401;37726;74692		50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;89761;86908;89740;74712	23762;40405;89886	5644;5680;27613;37711;86764;74712	89462;89463;89496;89497;89502;27594;27617;27618;86482;40404;40440;86024;86025;86036;41533;89198;42176;50644;50645;50679;89941;89789;89817;86982;86632;86944;89717;74692;86540;89886;89894		74712		5657;27617;89808;86632	56533;89486	89512;32997;40465;41397;89590;89748		27400;27401	50034	27392;86291					89499;27537;86959;86995	89432;86030;89549;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Donggang_virus	4020;86482;41533;89180;89934;89809;86540	5598;49981;49980;89461;27637;86151;86106;86131;86132;86044;41389;42181;49977;50643;86849;86663;74735	5644;27543;27597;27598;30915;86466;32929;32952;86415;36081;37726;40405;86005;40750;40751;41372;41517;42141;42142;50643;86963;86791;86864;86633;86634;86691;89716;74695;74696	23824;27543;27589;27597;27598;30915;86465;86466;32929;32952;86415;36081;37726;86005;40750;40751;41372;41517;42141;42142;50643;86963;86791;86633;86634;86691;89716;74695;74696		5696;86059;41556;86182;89945;89559	32999;23846;89402;23838;27582;27595;86002;40735;50684;89820;86824;86825;86828;86864;86892;86896;74693;74712	5690;89508;86503	86376;41324		5598;5642;11301;11670;89453;89454;86376;30915;86460;86461;32898;32899;86071;86108;85998;40743;41550;42135;42175;50685;89779;89780;89821;89574;89666	86466		4003;23761;86346;27382;27431;27580;27589;86446;86454;86466;86467;86236;86415;86416;86079;86101;86102;86131;36081;37727;85968;85987;85988;40732;40733;40750;40751;89529;89543;41373;41394;41499;41517;41518;86190;86194;86289;42124;42125;50033;50606;50636;86824;86595;86603;86604;86613;86634;89557;89563;89632;86654;86666;86667;86686;86687;86740;86745;86755;86756;74629;74645;74646;74658;74678;74679;74696;74712		4021;5622;86330;86331;27589;86419;86085;86003;40751;86289;86296;42138	89464;89497;89501;23793;23818;30915;80239;89576;86708;89865	37677;50669;89624;89487;89878;89736;89808;89504;23839;23840;86356;27419;27629;86494;86495;86235;86254;86139;33160;40404;40444;86004;40750;41545;41546;86288;80239;86633;86948;72026;89744;86551;86552	5667;89415;89483;86353;86233;37755;40354;40446;86043;41514;89586;89680;89733;74720;74735;89877	86349;40735;86528	32999;23846;40467;86351;86353;86414;86040;41508;41509;41563;86910;74712	89484;23755;23756;33167;86088;37747;89805;89587;86765;89717;89734;89867			86354;86461;41510;86193;42135;50631;89777;74676	86250;40440;41540;89199;49987;89557;86710;86711;74692;74712	86482;41533;86540	86327;86370;37680;86274;42100;89226;86794;86548	23794;27432;27433;27437;40415	86691;74694;74695	86372;27625;86493;86426;86097;41544;86194;86195;42119;86992;86993;86841;86703;86550	89415;86379;27626;27637;86466;86467;86258;33167;37670;37754;40354;41556;86204;42134;42138;86849;86660;74715;86547		32993;23840;40461;86507;89466;89502;23755;86347;86348;86455;86456;37680;37765;86047;40734;41500;41501;86177;86632;86711;74692;74734;74735	86579;86303	4057;27401;37726;74692	4065;11312;86502;89173;86030;40750;41517;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;23796;86385;27635;30915;32949;40467;85935;41514;86171;89761;86861;86908;89740;74712	23762;40405;85948;89886	4049;4065;5644;5680;11305;41314;49977;89425;89426;27613;37711;41326;46750;50605;50606;89906;89907;86605;89557;86764;74712	27393;32907;33168;37742;41388;50607;50608;86870		50064;74712;74735	11668;32980;37759;37758;23827;40448;41404;41405;50068;50067;89425;23761;86352;27589;27597;27616;86459;32935;32943;86403;40382;40713;40741;40742;86722;41475;41476;41508;86177;42090;42133;42138;89925;89785;89792;86830;86854;86629;86688;74687	5657;27366;27546;27617;49987;89808;86865;86632	5598;56534;56533;89486;85982;86682			27400;27401	50034	27392;27393;86291	4052;32977;32978;89481;89482;89497;23838;27540;40439;40440;40695;89198;89199;50664;89932;89941;89817;86788;86861;86913;89585;89620;89679;89875;89876;89886		89180	27585;41364;41363;86727;42129;50027;85992;41504;86105;13076;89169;40352;40446;86641	3988;5670;89499;27536;27537;86088;86586;86587;40375;86310;86311;50592;50631;86959;86995;86786;89557;72015;86514	89432;30915;86402;86078;85963;86030;89549;42100;50612;89762;89600;89703
d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Hanko_virus	4020;86482;41533;89180;89934;89809;86540	89461;27637;86131;86132;86044;42181;50643;86849;74735				5696;41556;89945		5690;89508;86503	86376						89461;89462;86505;86127;50643;50644;89788;89789;86764;89716;89717;74712;74718;74735	4021;5622;86331;27589;86085;86003;42138	89497;89501;23793;23818;86708	50669;89624;89487;89878;89736;89808;89504;23839;23840;27419;27629;86494;86254;40404;41545;86948;89744;86551;86552			86351;86353;86414;86040;41508;41509;41563;86910;74712	37747;86765;89717			86354;86461;41510;86193;42135;74676	86250;40440;41540;89199;86710;86711;74692;74712	86482;41533;86540	86370;86548	23794;27432;27433;40415		86372;27625;86493;86426;41544;86992;86993;86841;86703;86550	86379;27626;27637;86258;37670;37754;41556;86204;42134;42138;86849;74715				27401;37726;74692	86502;89173;86030;41552;86203;42168;86701;86771;89735;74735;86556	50683;23833;27472;40454;89501;89888;89819;89497;89498;86385;27635;89761;86908;89740;74712	23762;89886	5644;5680;27613;37711;86764;74712		74735	74712;74735	32980;37759;37758;23827;40448;41404;41405;50068;50067;23761;86352;27589;27616;86459;40382;40742;41508;42138;86688;74687	27617;89808;86632	56533;89486	89512;32997;40465;41397;89590;89748		27400;27401	50034	27392;86291			89180	37718;27585;41364;41363;86727;42129;50027;85992;41504;86105;89169;40352;40446;86641	89499;27537;86959;86995;72015	89432;86030;89549;50612;89762;89600;89703
